Date,Open,High,Low,Close,Volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2022-09-10 12:00:00,6.8662,6.8662,6.8662,6.8662,7.38,1662814799999,50.6725,1,7.38,50.6725,0
2022-09-10 13:00:00,6.9318,6.936,6.9318,6.936,90.44,1662818399999,627.2857,2,90.44,627.2857,0
2022-09-10 14:00:00,6.9845,6.9845,6.9626,6.9626,177.54,1662821999999,1238.0811,2,88.9,618.9751,0
2022-09-10 15:00:00,6.9348,6.9373,6.9348,6.9373,29.73,1662825599999,206.2076,4,15.28,105.9637,0
2022-09-10 16:00:00,6.9373,6.9373,6.9373,6.9373,0.0,1662829199999,0.0,0,0.0,0.0,0
2022-09-10 17:00:00,7.0308,7.0308,7.0308,7.0308,88.55,1662832799999,622.5773,1,0.0,0.0,0
2022-09-10 18:00:00,6.9982,6.9982,6.9982,6.9982,60.43,1662836399999,422.9012,1,60.43,422.9012,0
2022-09-10 19:00:00,6.9582,6.9641,6.9582,6.9641,316.41,1662839999999,2203.4689,2,7.1,49.4032,0
2022-09-10 20:00:00,6.9523,6.9523,6.9523,6.9523,1.94,1662843599999,13.4874,1,0.0,0.0,0
2022-09-10 21:00:00,7.0255,7.0255,7.0255,7.0255,88.0,1662847199999,618.244,1,88.0,618.244,0
2022-09-10 22:00:00,6.9993,6.9997,6.9936,6.9936,29.87,1662850799999,208.9941,3,29.87,208.9941,0
2022-09-10 23:00:00,6.9932,6.9932,6.9932,6.9932,2.0,1662854399999,13.9864,1,0.0,0.0,0
2022-09-11 00:00:00,6.9809,6.9809,6.9457,6.9457,250.95,1662857999999,1750.1312,9,48.08,333.9489,0
2022-09-11 01:00:00,6.9355,6.9355,6.9355,6.9355,87.65,1662861599999,607.8965,1,0.0,0.0,0
2022-09-11 02:00:00,7.0004,7.0029,7.0004,7.0029,63.0,1662865199999,441.1502,2,63.0,441.1502,0
2022-09-11 03:00:00,6.937,6.9639,6.9247,6.9247,396.57,1662868799999,2758.2335,6,386.0,2685.0112,0
2022-09-11 04:00:00,6.9247,6.9247,6.9247,6.9247,0.0,1662872399999,0.0,0,0.0,0.0,0
2022-09-11 05:00:00,6.9247,6.9247,6.9247,6.9247,0.0,1662875999999,0.0,0,0.0,0.0,0
2022-09-11 06:00:00,7.0171,7.25,7.0171,7.2425,1694.79,1662879599999,12123.3238,18,669.9,4851.2913,0
2022-09-11 07:00:00,7.25,7.6,7.25,7.6,5440.9,1662883199999,40203.2074,77,4344.39,32010.3374,0
2022-09-11 08:00:00,7.5,7.5072,7.2393,7.3568,818.05,1662886799999,6059.1707,38,221.48,1642.4955,0
2022-09-11 09:00:00,7.37,7.37,7.2546,7.2546,78.09,1662890399999,570.3738,7,40.38,296.8029,0
2022-09-11 10:00:00,7.2277,7.2297,7.1895,7.2297,259.27,1662893999999,1866.0949,7,59.96,433.1557,0
2022-09-11 11:00:00,7.2783,7.2783,7.2783,7.2783,47.31,1662897599999,344.336,5,0.0,0.0,0
2022-09-11 12:00:00,7.1478,7.1646,7.147,7.1471,469.66,1662901199999,3357.9289,10,437.97,3131.1716,0
2022-09-11 13:00:00,7.1469,7.1469,7.1357,7.1357,48.16,1662904799999,343.9665,4,27.81,198.7551,0
2022-09-11 14:00:00,7.034,7.0928,7.034,7.0928,68.9,1662908399999,488.5065,9,0.0,0.0,0
2022-09-11 15:00:00,7.0671,7.1005,7.0671,7.1005,95.58,1662911999999,676.9343,7,43.75,310.6466,0
2022-09-11 16:00:00,7.0921,7.0921,7.0797,7.0797,850.76,1662915599999,6028.6781,12,576.0,4080.3023,0
2022-09-11 17:00:00,7.0654,7.0825,7.0564,7.0825,440.55,1662919199999,3110.9115,3,15.91,112.6825,0
2022-09-11 18:00:00,7.0517,7.1151,7.0517,7.1151,26.53,1662922799999,187.2565,2,2.76,19.6376,0
2022-09-11 19:00:00,7.1151,7.1151,7.1151,7.1151,0.0,1662926399999,0.0,0,0.0,0.0,0
2022-09-11 20:00:00,7.1067,7.1067,7.1067,7.1067,285.23,1662929999999,2027.044,1,285.23,2027.044,0
2022-09-11 21:00:00,7.0856,7.0856,7.0856,7.0856,3.52,1662933599999,24.9413,1,3.52,24.9413,0
2022-09-11 22:00:00,7.0245,7.0245,6.9972,7.0,43.11,1662937199999,301.8138,3,20.27,141.9978,0
2022-09-11 23:00:00,7.1277,7.1299,7.1277,7.1299,22.41,1662940799999,159.7479,3,0.0,0.0,0
2022-09-12 00:00:00,7.2194,7.4357,7.2194,7.4312,985.7,1662944399999,7218.6279,17,911.37,6674.1057,0
2022-09-12 01:00:00,7.2609,7.2609,7.0592,7.112,652.33,1662947999999,4659.1288,12,77.15,554.964,0
2022-09-12 02:00:00,7.1807,7.1807,7.1692,7.1776,66.11,1662951599999,474.4803,3,57.01,409.136,0
2022-09-12 03:00:00,7.1776,7.1776,7.1776,7.1776,0.0,1662955199999,0.0,0,0.0,0.0,0
